Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Anisotropic mesh are not supported with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	1	(	1 0 100.0000000000 )	160.6247422680
	2	(	1 0 1254.7005383793 )	153.5536894866
	3	(	1 0 4718.8021535170 )	132.3405311424
	4	(	1 0 10000.0000000000 )	100.0000000000
	6	(	2 0 5000.0000000000 1 5000.0000000000 )	58.5324359492
	9	(	2 0 5000.0000000000 2 5000.0000000000 )	55.9016994375
	13	(	3 0 3333.3333333333 2 3333.3333333333 1 3333.3333333333 )	47.1682905221
	25+1	(	2 0 4664.5898033750 2 5335.4101966250 )	54.6460175208 (ExtendedPoll)
	25+2	(	2 0 3658.3592135001 2 6341.6407864999 )	54.3665216385 (ExtendedPoll)
	36+5	(	2 0 4853.2580389766 2 5104.8156864453 )	55.7859562011 (ExtendedPoll)
	46+6	(	2 0 4952.8329410996 2 5040.1793464707 )	55.7796437455 (ExtendedPoll)
	46+7	(	2 0 4811.3317643985 2 5160.7173858828 )	55.4595714411 (ExtendedPoll)
	46+8	(	2 0 4245.3270575938 2 5642.8695435312 )	54.9467100128 (ExtendedPoll)
	46+14	(	2 0 4217.3762078751 2 5761.6606548359 )	54.0237235981 (ExtendedPoll)
	68+2	(	2 0 4105.5728090001 2 5894.4271909999 )	53.7841727607 (ExtendedPoll)
	83+6	(	2 0 4077.6219592813 2 5838.5254915624 )	54.5583352238 (ExtendedPoll)
	83+13	(	2 0 4079.3688873888 2 5901.4149034296 )	53.9607874220 (ExtendedPoll)
	83+17	(	2 0 4048.3609134820 2 5933.2963413900 )	53.9575135294 (ExtendedPoll)
	83+20	(	2 0 4114.7441815640 2 5872.1538576303 )	53.9056113440 (ExtendedPoll)
	83+26	(	2 0 4103.7166978859 2 5883.2905243151 )	53.9036253851 (ExtendedPoll)
	83+27	(	2 0 4070.6342468517 2 5916.7005243695 )	53.9019093307 (ExtendedPoll)
	83+33	(	2 0 4066.9220246234 2 5931.8769623028 )	53.7986288783 (ExtendedPoll)
	135+3	(	2 0 4552.7864045000 2 5447.2135955000 )	54.3435557967 (ExtendedPoll)
	135+17	(	2 0 4547.0542966476 2 5452.5362670773 )	54.3341271736 (ExtendedPoll)
	135+18	(	2 0 4529.8579730901 2 5468.5042818092 )	54.3067391679 (ExtendedPoll)
	135+19	(	2 0 4461.0726788604 2 5532.3763407368 )	54.2108013388 (ExtendedPoll)
	135+20	(	2 0 4185.9315019415 2 5787.8645764472 )	54.0536810905 (ExtendedPoll)
	135+24	(	2 0 4166.7152927598 2 5812.7583019780 )	53.9898429352 (ExtendedPoll)
