
TIME	BBE	OBJ

0	1	409.067422156616
0	2	407.173143113625
0	7	326.103515990633
0	42	325.623426986692
0	59	295.895440816156
0	72	293.4555631559
0	90	279.968263515696
0	139	275.288266367226
0	187	275.132352128014
0	209	275.075795191333
0	210	274.976333696773
0	241	274.933105934363
0	250	274.790628310616
0	270	274.36972472876
0	289	274.275563955637
0	326	274.268484588901
0	338	274.064933108817
1	386	274.062269914507
1	387	274.054281384837
1	391	274.049026282641
1	401	273.920837770762
1	404	273.508720307709
1	424	273.331822600277
1	428	273.234004939865
1	445	272.832477208338
1	467	272.636358518916
1	485	272.016936191517
1	522	271.675223302068
1	528	271.458245294985
1	563	271.409843575617
1	566	271.294040864725
1	575	271.203751307945
1	580	270.867285707472
1	582	270.135910598837
1	584	268.624704712738
1	586	264.655640417888
1	626	264.547329099114
1	629	264.369411744322
1	636	259.186132611454
1	670	259.111109366001
1	694	258.526885252145
1	737	258.461782617644
1	741	258.254128487816
2	743	257.637827815885
2	751	257.487467885692
2	763	256.062079426438
2	784	255.55667512634
2	822	255.301356122905
2	827	255.062123107245
2	852	254.969793840294
2	872	254.961280633716
2	874	254.872629390701
2	892	254.11730737943
2	901	252.429482703112
2	913	247.734161777393
2	943	246.281383367226
2	950	244.871940734504
2	955	243.687522298512
2	968	240.313783391124
2	994	225.924186834258
2	1027	225.375287811551
2	1030	223.59959141347
2	1033	214.372939666438
2	1075	212.392129645385
2	1079	202.458511181126
3	1118	201.385729843192
3	1121	200.414479846749
3	1122	197.265532908615
3	1130	196.484237748458
3	1143	195.363761230687
3	1150	194.180926892312
3	1164	186.886694594438
3	1229	186.775564288857
3	1235	185.543088875516
3	1247	184.315879020582
3	1250	183.591281538454
3	1251	180.585581615803
3	1252	176.910717859633
3	1256	151.835774047001
3	1288	151.049164181499
3	1289	143.621877654316
3	1298	138.52428369358
3	1300	130.977242901418
3	1304	100.267474292617
3	1325	99.71006688112919
3	1363	94.56656135601661
3	1379	79.3308117287512
3	1411	62.8192798819504
4	1413	57.1236275580665
4	1433	45.5493739549428
4	1482	44.5241434513005
4	1485	42.8758586335358
4	1494	40.173767108364
4	1520	35.9160626502317
4	1541	35.4706065363053
4	1625	35.3985432229957
4	1626	34.7705213812039
4	1648	33.7365638550162
4	1654	33.2736870837588
4	1721	33.1821599854517
4	1756	33.1640101150454
4	1759	33.1094860838809
5	1772	33.0242678796706
5	1817	32.9941537610489
5	1827	32.993685905707
5	1860	32.9805924282463
5	1912	32.9797736631138
5	1936	32.979572485373
5	1941	32.9794989828924
5	1943	32.978674947399
5	1980	32.9781395291375
5	1983	32.9779413611568
5	2001	32.9779413611568

evaluations           : 2001
multiple evaluations  : 0
cache hits            : 258
cache search points   : 221
best feasible solution: x=( 5.167878504178415 3.051154465074881 9.460783454109679 ) F(x)=[ 32.9779413611568 ] h=0 f=32.9779413611568
