
TIME	BBE	OBJ

0	1	-0.001746040966254643
0	2	-0.1020265638285207
0	6	-0.1441632798005752
0	15	-0.1542510749518172
0	22	-0.1577316768630335
0	37	-0.183989373943974
0	38	-0.2020008666180557
0	39	-0.2129271506181529
0	40	-0.2361644054928127
1	75	-0.2374148796747058
1	94	-0.2603035160235741
1	116	-0.2684048733308141
2	174	-0.2821001936977113
3	212	-0.2866228068210581
4	298	-0.2898075435824587
4	322	-0.316703796586124
5	350	-0.338651875099582
6	412	-0.3480692693344858
7	506	-0.4056438193796689
8	550	-0.4404750660164174
9	598	-0.4453605848005951
11	758	-0.4502266934808508
12	780	-0.4606308402126712
12	794	-0.4678396551609023
12	804	-0.4864410201396533
13	836	-0.5028952047514585
15	961	-0.513267791679749
29	1001	-0.513267791679749
evaluations: 1001
cache hits : 14460
best feasible solution: x=( 3.125 3.125 3.25 1.5 2.375 0.25 2.625 0.125 0.5 0.875 ) F(x)=[ -3.307846963405609 -57.25 -0.513267791679749 ] h=0 f=-0.513267791679749
